# 4575,22.833,25.343,121.674,129.343,0.0,7.2,1.0,253.0,60058099380000,61290954660000
60058099380000,23.948,123.438,4.9, 53,
60058812720000,24.272,121.751,4.8, 56,
60060879780000,24.985,128.198,5.3, 33,
60062797560000,24.702,123.799,4.0, 98,
60062870220000,23.415,123.957,6.0, 16,
60062943180000,24.53,121.972,4.8, 29,
60062960220000,24.323,123.556,5.0, 77,
60063033300000,23.845,123.735,   , 33,
60063119700000,23.338,123.757,6.0, 33,
60063175320000,23.861,123.42,4.4, 33,
60070934940000,23.385,123.488,5.2, 41,
60073178520000,24.078,122.312,5.4, 42,
60073677180000,24.139,125.124,4.4, 33,
60075308520000,23.334,123.566,5.4, 28,
60077974140000,24.888,122.026,4.9, 86,
60078876960000,23.763,121.69,4.7, 33,
60081686700000,24.168,121.8,4.3, 41,
60083819700000,25.14,122.591,4.6, 79,
60085423440000,23.297,126.263,4.9, 67,
60089036700000,24.869,127.045,4.7,128,
60091009380000,24.282,122.547,4.6, 81,
60093090540000,24.524,122.749,4.2,125,
60093252420000,23.56,125.395,4.8, 69,
60096611220000,25.245,122.14,4.9,210,
60098031840000,24.038,122.756,5.0, 36,
60098951460000,25.141,125.555,5.8, 18,
60100265340000,23.747,123.364,4.4, 34,
60106130160000,24.572,122.687,6.0, 32,
60106491960000,23.992,122.363,5.1, 26,
60107121060000,24.032,122.359,4.8, 67,
60108875100000,23.68,124.789,4.4, 28,
60112765260000,23.853,122.186,4.9, 53,
60114962340000,25.132,123.466,4.9,173,
60115254240000,23.493,123.752,5.4, 33,
60116021460000,24.245,122.196,4.9, 62,
60116742420000,24.77,122.622,4.5,129,
60117841140000,24.437,124.908,4.9, 69,
60118348740000,24.618,122.579,4.8,117,
60121227960000,25.178,126.072,4.8, 51,
60123113820000,24.51,123.11,4.9, 84,
60124114140000,25.207,126.667,4.5, 60,
60124151700000,23.989,122.56,4.7, 56,
60124575300000,24.346,122.511,5.1, 68,
60128735940000,24.021,122.397,5.0, 41,
60131033700000,25.029,122.838,4.9,133,
60132124140000,23.442,126.556,5.8, 16,
60132371280000,23.421,122.012,4.1, 43,
60132523560000,23.43,123.727,4.3, 30,
60133118160000,24.038,122.505,4.0, 42,
60133706880000,22.918,122.997,5.5, 13,
60133850700000,23.894,121.679,5.1, 50,
60134347440000,24.836,122.411,4.9,105,
60135196200000,24.077,122.395,5.1, 48,
60136011480000,24.053,121.707,5.2, 28,
60136231980000,23.966,121.807,   , 15,
60136408800000,23.398,123.444,4.5, 40,
60138888480000,23.293,121.727,4.7, 62,
60150602280000,23.907,122.445,5.1, 48,
60152178360000,24.619,122.396,   , 27,
60152381220000,23.833,123.669,5.4, 33,
60153077280000,23.456,125.582,5.5, 33,
60154047180000,24.021,122.638,5.0, 38,
60154650120000,23.019,121.687,5.8, 33,
60154888020000,23.684,121.846,   , 36,
60156229800000,23.994,121.731,4.9, 33,
60156312900000,23.534,124.359,4.7, 33,
60157040760000,24.284,121.8,5.7, 40,
60157206600000,24.792,122.588,4.9,124,
60157844520000,24.133,122.69,4.7, 43,
60159786060000,24.004,122.306,5.4, 38,
60159786300000,23.982,122.399,4.9, 36,
60161070000000,23.339,126.174,5.0, 15,
60161806140000,24.652,121.912,3.9, 21,
60163381440000,25.286,122.2,5.4,215,
60164054820000,24.653,122.365,4.6,132,
60164762580000,24.407,122.188,4.7, 17,
60164915880000,24.742,125.929,6.0, 36,
60164934360000,24.669,125.268,4.7, 33,
60165175620000,23.842,123.442,4.8, 40,
60165948000000,23.961,123.538,4.9, 37,
60166909080000,22.945,122.15,4.6, 40,
60167646480000,23.983,122.618,4.0, 33,
60171091440000,24.936,122.241,5.0,123,
60171473400000,24.908,122.299,5.1, 39,
60171575460000,23.775,122.428,4.7, 41,
60171932340000,24.367,121.808,5.3, 23,
60171933240000,24.316,121.88,4.7, 25,
60172036620000,23.968,122.62,5.1, 33,
60173052540000,23.967,122.328,3.6, 52,
60173374740000,24.766,122.04,4.3,  4,
60174440820000,24.544,121.856,5.0, 80,
60174442620000,24.61,121.798,   , 84,
60175199820000,24.78,122.373,   , 62,
60176418960000,24.931,124.633,4.8, 66,
60178097460000,24.399,122.679,4.6, 67,
60178300320000,23.949,122.399,4.8, 33,
60183246540000,24.038,123.89,4.9, 78,
60183570000000,23.756,121.916,5.3, 36,
60186445680000,23.745,125.863,4.3, 38,
60188186340000,24.5,122.58,4.8, 74,
60188754120000,24.38,123.935,4.8, 33,
60188960880000,23.2,121.869,   , 29,
60190830900000,25.254,123.157,5.0,178,
60191371500000,24.284,125.209,4.6, 66,
60194329920000,24.343,121.931,4.9, 66,
60195486240000,23.718,125.254,4.8, 35,
60198141540000,23.916,123.543,5.3, 53,
60198689520000,24.051,122.214,5.7, 33,
60199492080000,24.136,122.507,4.4, 63,
60201359220000,24.22,122.107,4.4, 33,
60202072380000,24.974,121.898,4.2,143,
60202882440000,23.161,124.792,4.3, 33,
60203018700000,25.146,125.992,4.8, 44,
60204012720000,24.741,125.331,4.1, 68,
60208033560000,23.991,121.887,   , 31,
60208064640000,24.41,122.278,4.0, 55,
60208102920000,24.667,121.926,4.9, 85,
60209377020000,24.814,123.023,5.0,129,
60210157620000,23.651,121.771,4.1, 10,
60210754680000,25.014,123.24,4.6,153,
60211145880000,23.074,121.711,4.9, 45,
60211235520000,24.893,121.879,4.6, 33,
60211236360000,25.104,122.115,4.2, 33,
60211292220000,24.167,125.04,4.3, 33,
60211308480000,23.806,124.982,4.4, 41,
60211662300000,24.491,122.933,   , 80,
60212573820000,24.038,124.893,4.6, 33,
60212845980000,24.175,121.69,5.2, 40,
60213110160000,24.111,121.932,4.0, 38,
60215987880000,23.583,121.705,5.0, 63,
